Player,Game Week,Team,League,Nationality,Age,Minutes,Shots on Target Against,Goals Against,Saves,Post-Shot Expected Goals (PSxG),Save Efficiency,Clean Sheets,Completed Long Passes,Attempted Long Passes,Attempted Passes (excluding GK),Attempted Throws,Pass Length (Total),Attempted Goal Kicks,Goal Kick Length (Total),Crosses Faced,Crosses Stopped,Defensive Actions Outside Penalty Area,Distance of Defensive Actions (Total)
Pierluigi Gollini,J1,Genoa,Serie A,it ITA,29-152,90,7.0,2.0,5.0,2.9,0.9,False,6.0,19.0,26.0,3.0,120.0,7.0,422.8,17.0,1.0,0.0,0.0
Yann Sommer,J1,Inter,Serie A,ch SUI,35-244,90,7.0,2.0,4.0,2.1,0.1,False,0.0,1.0,26.0,4.0,80.4,4.0,120.0,11.0,0.0,1.0,21.5
Michele Di Gregorio,J1,Juventus,Serie A,it ITA,27-023,90,0.0,0.0,0.0,0.0,0.0,True,4.0,6.0,21.0,4.0,98.8,7.0,261.1,10.0,1.0,0.0,0.0
Pepe Reina,J1,Como,Serie A,es ESP,41-354,90,6.0,3.0,3.0,2.3,-0.7,False,2.0,9.0,26.0,3.0,93.9,2.0,35.0,9.0,0.0,2.0,32.0
Federico Ravaglia,J11,Bologna,Serie A,it ITA,24-357,90,0.0,0.0,0.0,0.0,0.0,True,1.0,1.0,19.0,4.0,84.8,3.0,51.9,4.0,1.0,0.0,0.0
Wladimiro Falcone,J11,Lecce,Serie A,it ITA,29-204,90,4.0,1.0,3.0,1.1,0.1,False,16.0,37.0,21.0,1.0,50.0,21.0,1308.3,28.0,0.0,2.0,34.6
Robert Sánchez,J1,Chelsea,Premier League,es ESP,26-274,90,5.0,2.0,3.0,0.8,-1.2,False,1.0,5.0,23.0,4.0,117.2,6.0,85.8,6.0,1.0,0.0,0.0
Ederson,J1,Manchester City,Premier League,br BRA,31-001,90,3.0,0.0,3.0,0.7,0.7,True,4.0,9.0,37.0,5.0,147.5,2.0,94.0,12.0,1.0,0.0,0.0
Mads Hermansen,J1,Leicester City,Premier League,dk DEN,24-039,90,6.0,1.0,5.0,1.9,0.9,False,3.0,15.0,23.0,5.0,213.0,4.0,249.2,23.0,0.0,0.0,0.0
Guglielmo Vicario,J1,Tottenham,Premier League,it ITA,27-317,90,3.0,1.0,2.0,1.3,0.3,False,0.0,1.0,43.0,6.0,110.4,2.0,24.0,12.0,1.0,8.0,226.4
Jason Steele,J2,Brighton,Premier League,eng ENG,34-006,90,3.0,1.0,2.0,0.4,-0.6,False,6.0,10.0,50.0,6.0,169.2,0.0,0.0,9.0,2.0,2.0,33.4
André Onana,J2,Manchester Utd,Premier League,cm CMR,28-144,90,4.0,2.0,2.0,2.5,0.5,False,9.0,13.0,57.0,9.0,235.8,1.0,10.0,9.0,0.0,1.0,14.6
Ederson,J2,Manchester City,Premier League,br BRA,31-007,90,1.0,1.0,0.0,0.3,-0.7,False,1.0,1.0,24.0,1.0,24.1,0.0,0.0,5.0,0.0,1.0,19.5
Arijanet Muric,J2,Ipswich Town,Premier League,xk KVX,25-291,90,5.0,4.0,1.0,3.5,-0.5,False,3.0,10.0,30.0,4.0,112.8,6.0,264.0,15.0,0.0,3.0,60.0
Alex McCarthy,J2,Southampton,Premier League,eng ENG,34-265,90,8.0,1.0,7.0,1.6,0.6,False,1.0,3.0,29.0,8.0,168.8,2.0,53.0,14.0,1.0,0.0,0.0
Matz Sels,J2,Nott'ham Forest,Premier League,be BEL,32-180,90,1.0,0.0,1.0,0.0,0.0,True,4.0,14.0,16.0,0.0,0.0,2.0,127.0,10.0,2.0,0.0,0.0
Guglielmo Vicario,J2,Tottenham,Premier League,it ITA,27-322,90,1.0,0.0,1.0,0.1,0.1,True,0.0,0.0,43.0,10.0,163.0,2.0,31.0,9.0,1.0,0.0,0.0
Jordan Pickford,J2,Everton,Premier League,eng ENG,30-170,90,7.0,4.0,3.0,2.6,-1.4,False,10.0,20.0,27.0,2.0,85.4,6.0,289.2,14.0,0.0,2.0,29.6
Bernd Leno,J2,Fulham,Premier League,de GER,32-173,90,4.0,1.0,3.0,1.7,0.7,False,5.0,12.0,37.0,2.0,64.6,1.0,89.0,11.0,2.0,2.0,25.6
Mads Hermansen,J2,Leicester City,Premier League,dk DEN,24-044,90,6.0,2.0,4.0,1.9,-0.1,False,1.0,8.0,38.0,8.0,218.4,9.0,246.6,19.0,2.0,0.0,0.0
Dean Henderson,J2,Crystal Palace,Premier League,eng ENG,27-165,90,3.0,2.0,1.0,0.9,-1.1,False,1.0,12.0,22.0,4.0,158.0,10.0,216.0,8.0,0.0,0.0,0.0
Alphonse Areola,J2,West Ham,Premier League,fr FRA,31-179,90,2.0,0.0,2.0,0.3,0.3,True,8.0,22.0,32.0,3.0,101.4,13.0,687.7,15.0,1.0,1.0,16.8
Emiliano Martínez,J2,Aston Villa,Premier League,ar ARG,31-357,90,4.0,2.0,2.0,0.9,-1.1,False,4.0,10.0,33.0,5.0,141.5,7.0,209.3,8.0,1.0,0.0,0.0
David Raya,J2,Arsenal,Premier League,es ESP,28-344,90,3.0,0.0,3.0,1.0,1.0,True,3.0,7.0,26.0,4.0,101.2,3.0,135.9,6.0,0.0,1.0,9.7
José Sá,J2,Wolves,Premier League,pt POR,31-221,90,8.0,6.0,2.0,3.0,-3.0,False,6.0,14.0,28.0,2.0,75.6,2.0,61.0,8.0,0.0,3.0,63.6
Robert Sánchez,J2,Chelsea,Premier League,es ESP,26-281,90,4.0,2.0,2.0,0.8,-1.2,False,3.0,10.0,41.0,5.0,127.0,7.0,301.7,8.0,2.0,2.0,31.4
Maduka Okoye,J11,Udinese,Serie A,ng NGA,25-066,90,5.0,2.0,4.0,2.4,0.4,False,7.0,10.0,33.0,4.0,119.2,1.0,55.0,8.0,2.0,0.0,0.0
Michele Di Gregorio,J11,Juventus,Serie A,it ITA,27-098,90,2.0,0.0,2.0,0.4,0.4,True,2.0,13.0,31.0,3.0,107.4,3.0,186.9,21.0,3.0,0.0,0.0
Neto,J2,Bournemouth,Premier League,br BRA,35-037,90,5.0,1.0,4.0,2.6,1.6,False,9.0,19.0,19.0,1.0,43.9,9.0,504.9,19.0,2.0,0.0,0.0
Nick Pope,J2,Newcastle Utd,Premier League,eng ENG,32-128,90,4.0,1.0,3.0,1.1,0.1,False,5.0,11.0,27.0,6.0,162.6,9.0,444.6,14.0,1.0,6.0,115.2
Alisson,J2,Liverpool,Premier League,br BRA,31-328,90,2.0,0.0,2.0,0.8,0.8,True,5.0,12.0,34.0,2.0,63.0,3.0,135.0,6.0,0.0,0.0,0.0
Mark Flekken,J2,Brentford,Premier League,nl NED,31-073,90,8.0,2.0,6.0,2.8,0.8,False,8.0,18.0,50.0,3.0,104.7,4.0,244.0,14.0,0.0,2.0,35.0
David Raya,J3,Arsenal,Premier League,es ESP,28-351,90,4.0,1.0,3.0,0.6,-0.4,False,9.0,30.0,30.0,3.0,130.8,10.0,609.0,18.0,5.0,0.0,0.0
Bart Verbruggen,J3,Brighton,Premier League,nl NED,22-013,90,7.0,1.0,6.0,2.4,1.4,False,5.0,10.0,32.0,6.0,185.4,2.0,59.0,6.0,0.0,2.0,50.0
Arijanet Muric,J3,Ipswich Town,Premier League,xk KVX,25-298,90,4.0,1.0,3.0,1.1,0.1,False,2.0,9.0,36.0,6.0,148.2,4.0,235.2,21.0,1.0,1.0,13.5
Bernd Leno,J3,Fulham,Premier League,de GER,32-180,90,4.0,1.0,3.0,0.4,-0.6,False,2.0,10.0,40.0,2.0,50.4,5.0,297.0,12.0,1.0,1.0,12.3
Matz Sels,J3,Nott'ham Forest,Premier League,be BEL,32-187,90,2.0,1.0,1.0,0.6,-0.4,False,4.0,15.0,19.0,1.0,49.0,2.0,26.0,6.0,0.0,0.0,0.0
Sam Johnstone,J3,Wolves,Premier League,eng ENG,31-159,90,5.0,1.0,4.0,1.7,0.7,False,5.0,19.0,31.0,0.0,0.0,1.0,20.0,17.0,1.0,1.0,11.0
Mark Flekken,J3,Brentford,Premier League,nl NED,31-079,90,6.0,1.0,5.0,0.7,-0.3,False,7.0,12.0,35.0,4.0,124.8,2.0,109.0,14.0,0.0,1.0,17.0
Aaron Ramsdale,J3,Southampton,Premier League,eng ENG,26-109,90,7.0,3.0,4.0,3.2,0.2,False,2.0,13.0,39.0,8.0,250.4,2.0,33.0,8.0,1.0,0.0,0.0
