Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Goals Against,Shots on Target Against,Saves,Clean Sheets,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Post-Shot Expected Goals,Launched Passes Completed,Launched Passes Attempted,Passes Attempted (GK),Through Balls,Goal Kicks Attempted,Crosses Opposed,Crosses Stopped,Sweeper Actions,Penalties Winner,Efficiency
Aaron Ramsdale,eng ENG,GK,Arsenal,25,1998,7,7,630,6,19,13,2,0,0,0,0,4.9,22,78,199,33,27,59,8,9,0,-1.0999999999999999
Aarón Escandell,es ESP,GK,Las Palmas,27,1995,2,1,153,3,4,1,0,0,0,0,0,2.5,9,26,73,10,12,24,1,4,0,-0.5
Aitor Fernández,es ESP,GK,Osasuna,32,1991,7,6,551,9,20,11,1,1,1,0,0,6.1,47,113,174,19,22,69,1,15,0,-2.9000000000000004
Alaa Bellaarouch,ma MAR,GK,Strasbourg,21,2002,15,15,1350,26,63,37,2,4,3,1,0,19.9,56,183,440,57,61,203,19,21,1,-6.100000000000001
Alban Lafont,fr FRA,GK,Nantes,24,1999,28,28,2496,43,118,75,7,8,8,0,0,42.4,123,388,839,145,166,385,33,33,0,-0.6000000000000014
Alberto Brignoli,it ITA,GK,gr Panathinaikos,31,1991,5,5,450,8,25,17,2,1,1,0,0,9.1,18,59,142,19,12,51,5,6,0,1.0999999999999996
Alessandro Sorrentino,it ITA,GK,Monza,21,2002,7,5,548,16,32,16,0,4,4,0,0,14.4,18,56,151,29,42,62,3,3,0,-1.5999999999999996
Alessio Cragno,it ITA,GK,Sassuolo,29,1994,3,3,270,7,14,8,0,1,1,0,0,5.1,17,45,78,11,22,37,3,8,0,-1.9000000000000004
Alex Meret,it ITA,GK,it Napoli,26,1997,39,39,3493,53,149,95,7,4,2,2,0,49.0,78,220,973,158,202,457,12,38,2,-4.0
Alexander Brunst,de GER,GK,Darmstadt 98,28,1995,3,3,270,10,17,7,0,0,0,0,0,6.3,33,72,129,13,21,51,3,9,0,-3.7
Alexander Meyer,de GER,GK,de Dortmund,32,1991,9,8,785,10,31,22,3,1,1,0,0,9.1,33,94,376,34,39,127,10,7,0,-0.9000000000000001
Alexander Nübel,de GER,GK,Stuttgart,26,1996,30,30,2700,36,107,74,11,3,3,0,0,30.8,126,291,1103,132,112,341,30,57,0,-5.199999999999999
Alexander Schlager,at AUT,GK,at RB Salzburg,27,1996,6,6,540,8,33,25,2,2,2,0,0,9.7,33,86,210,20,46,87,3,7,0,1.6999999999999993
Alexander Schwolow,de GER,GK,Union Berlin,31,1992,1,1,90,2,6,4,0,0,0,0,0,1.2,4,10,28,4,8,13,0,0,0,-0.8
Alexandre Oukidja,dz ALG,GK,Metz,35,1988,34,34,2987,57,185,128,6,6,6,0,0,52.3,209,666,708,125,292,569,46,22,0,-4.700000000000003
Alexandros Paschalakis,gr GRE,GK,gr Olympiacos,34,1989,9,9,810,18,38,20,2,1,1,0,0,13.899999999999999,32,135,184,28,72,97,10,12,0,-4.1000000000000005
Aleš Mandous,cz CZE,GK,cz Slavia Prague,31,1992,6,6,540,4,16,12,4,0,0,0,0,4.6,21,37,210,48,29,36,4,10,0,0.5999999999999996
Alisson,br BRA,GK,Liverpool,30,1992,30,30,2700,30,112,83,10,1,1,0,0,29.3,72,209,1154,152,125,318,15,38,0,-0.7000000000000007
Alphonse Areola,fr FRA,GK,West Ham,30,1993,32,32,2789,55,193,139,4,7,5,2,0,53.0,163,436,661,150,230,479,27,8,2,-1.9999999999999987
Amir Saipi,xk KVX,GK,ch Lugano,23,2000,6,6,540,14,34,20,1,2,1,0,1,11.7,21,57,211,22,34,70,3,15,1,-2.3000000000000007
Anatolii Trubin,ua UKR,GK,pt Benfica,21,2001,12,12,1110,16,57,41,2,4,2,0,2,21.0,43,118,291,55,98,173,6,9,2,5.0
Andrea Consigli,it ITA,GK,Sassuolo,36,1987,35,35,3150,68,159,93,3,10,7,1,2,51.7,172,540,982,143,252,545,23,22,3,-16.299999999999997
Andreas Hansen,dk DEN,GK,dk Nordsjælland,27,1995,5,5,450,6,24,18,1,1,1,0,0,6.2,7,22,177,27,47,56,2,6,0,0.20000000000000018
Andreas Luthe,de GER,GK,Bochum,36,1987,1,1,90,4,4,1,0,0,0,0,0,2.7,20,43,42,2,7,13,0,0,0,-1.2999999999999998
Andrey Lunyov,ru RUS,GK,az Qarabağ,31,1991,10,10,924,18,58,41,2,2,2,0,0,16.6,60,195,302,36,92,174,12,3,0,-1.3999999999999986
Andriy Lunin,ua UKR,GK,Real Madrid,24,1999,29,29,2640,27,110,82,12,3,2,1,0,33.1,66,181,752,134,170,380,37,26,1,6.1
André Ferreira,pt POR,GK,Granada,27,1996,15,14,1340,29,77,49,0,3,3,0,0,27.8,73,186,388,88,110,195,6,13,0,-1.1999999999999993
André Onana,cm CMR,GK,Manchester Utd,27,1996,44,44,3960,73,238,165,10,11,9,1,1,72.60000000000001,188,607,1561,166,181,678,44,39,2,-0.3999999999999968
Anthony Lopes,pt POR,GK,Lyon,32,1990,31,31,2790,49,155,106,9,6,4,1,1,43.5,132,362,839,156,196,438,36,28,2,-5.5
Anthony Moris,lu LUX,GK,be Union SG,33,1990,8,8,720,12,31,19,1,3,3,0,0,13.6,41,107,237,29,43,83,6,16,0,1.5999999999999996
Anthony Racioppi,ch SUI,GK,ch Young Boys,24,1998,5,5,450,11,42,31,1,2,2,0,0,13.8,31,80,178,25,31,67,1,4,0,2.8000000000000007
Anton Ari Einarsson,is ISL,GK,is Breiðablik,28,1994,6,6,540,18,35,18,0,1,1,0,0,10.8,23,57,215,52,46,73,2,7,0,-7.199999999999999
Anton Zhylkin,ua UKR,GK,ua Zorya Luhansk,20,2003,1,0,1,0,0,0,1,0,0,0,0,0.0,0,1,0,0,1,0,0,0,0,0.0
Antonio Adán,es ESP,GK,pt Sporting CP,36,1987,6,6,540,7,19,12,0,1,1,0,0,5.8,22,62,187,19,36,48,3,7,0,-1.2000000000000002
Antonio Mirante,it ITA,GK,Milan,40,1983,2,2,177,3,8,5,0,0,0,0,0,3.1,5,14,46,5,8,17,1,1,0,0.10000000000000009
Antonio Sivera,es ESP,GK,Alavés,26,1996,34,34,3060,38,123,87,10,8,8,0,0,38.4,279,701,807,116,295,501,25,29,0,0.3999999999999986
Arijanet Muric,xk KVX,GK,Burnley,24,1998,10,10,900,16,78,62,0,2,1,1,0,21.7,77,219,547,54,33,143,20,31,1,5.699999999999999
Arnau Tenas,es ESP,GK,Paris S-G,22,2001,6,5,529,7,25,18,1,0,0,0,0,6.0,14,46,174,19,37,71,2,5,0,-1.0
Arthur Desmas,fr FRA,GK,Le Havre,29,1994,33,33,2970,43,153,111,7,3,1,1,1,47.0,155,454,719,135,222,470,32,24,2,4.0
Augusto Batalla,ar ARG,GK,Granada,27,1996,17,17,1530,28,86,58,3,0,0,0,0,22.6,127,354,566,78,122,275,23,18,0,-5.399999999999999
Bart Verbruggen,nl NED,GK,Brighton,20,2002,24,24,2160,28,100,72,7,3,3,0,0,26.299999999999997,65,166,884,132,85,276,20,33,0,-1.7000000000000015
Benjamin Lecomte,fr FRA,GK,Montpellier,32,1991,30,30,2700,37,137,102,10,5,4,1,0,36.8,150,436,781,137,221,471,29,13,1,-0.20000000000000284
Benoît Costil,fr FRA,GK,Salernitana,36,1987,13,13,1170,29,66,38,1,3,3,0,0,23.6,71,228,323,45,104,212,2,19,0,-5.399999999999999
Bernd Leno,de GER,GK,Fulham,31,1992,38,38,3420,61,190,133,10,8,8,0,0,55.7,144,439,1372,167,201,472,19,40,0,-5.299999999999997
Boris Radunović,rs SRB,GK,Cagliari,27,1996,7,7,630,12,27,16,2,1,0,0,1,10.1,41,91,156,31,66,98,6,4,1,-1.9000000000000004
Brice Samba,fr FRA,GK,fr Lens,29,1994,41,41,3720,49,180,131,15,10,8,1,1,55.8,211,476,1194,188,209,511,42,46,2,6.799999999999997
Caoimhín Kelleher,ie IRL,GK,Liverpool,24,1998,18,18,1620,23,71,50,3,0,0,0,0,21.9,58,183,753,106,58,160,13,24,0,-1.0999999999999996
Carljohan Eriksson,fi FIN,GK,dk Nordsjælland,28,1995,1,1,90,1,4,3,0,0,0,0,0,0.7,1,5,29,5,6,15,2,0,0,-0.30000000000000004
Carlo Pinsoglio,it ITA,GK,Juventus,33,1990,1,0,45,0,3,3,1,0,0,0,0,0.5,2,5,21,1,0,17,0,0,0,0.5
Christos Mandas,gr GRE,GK,Lazio,21,2001,9,8,721,6,29,23,4,0,0,0,0,7.0,38,114,240,29,29,99,6,5,0,1.0
Cican Stankovic,at AUT,GK,gr AEK Athens,30,1992,4,4,326,5,19,14,0,4,4,0,0,7.6,19,42,114,16,29,37,0,8,0,2.5999999999999996
Claudio Bravo,cl CHI,GK,Betis,40,1983,9,9,810,7,29,23,2,0,0,0,0,8.3,50,108,221,35,71,125,7,10,0,1.2999999999999998
Cristian,es ESP,GK,Valencia,25,1998,1,0,57,1,3,2,0,0,0,0,0,0.5,2,5,15,4,3,12,0,0,0,-0.5
Dani Cárdenas,es ESP,GK,Rayo Vallecano,26,1997,1,1,90,1,1,0,0,0,0,0,0,0.9,2,15,36,5,4,5,0,2,0,-0.09999999999999998
Daniel Batz,de GER,GK,Mainz 05,32,1991,4,4,360,3,17,14,1,0,0,0,0,2.4,18,58,132,14,21,38,4,2,0,-0.6000000000000001
Daniel Bentley,eng ENG,GK,Wolves,30,1993,5,3,383,7,15,8,1,0,0,0,0,5.8,13,56,111,9,33,50,0,3,0,-1.2000000000000002
Daniel Fuzato,br BRA,GK,Getafe,26,1997,1,0,7,2,2,0,0,0,0,0,0,1.3,2,7,6,1,4,5,1,0,0,-0.7
Daniel Peretz,il ISR,GK,Bayern Munich,23,2000,1,0,17,0,0,0,1,0,0,0,0,0.0,0,4,15,3,2,2,0,0,0,0.0
Daniele Sommariva,it ITA,GK,Genoa,26,1997,1,0,5,0,0,0,1,0,0,0,0,0.0,0,3,2,0,1,2,1,0,0,0.0
Danijel Zagorac,hr CRO,GK,hr Dinamo Zagreb,36,1987,3,3,270,1,6,4,2,2,1,1,0,3.1,14,29,82,15,16,36,9,5,1,2.1
David Gil,es ESP,GK,Cádiz,29,1994,5,4,372,8,24,17,1,0,0,0,0,5.3,51,125,104,8,48,91,7,0,0,-2.7
David Raya,es ESP,GK,Arsenal,27,1995,41,41,3720,31,92,61,20,4,3,1,0,26.4,178,472,1234,203,129,415,54,66,1,-4.600000000000001
David Soria,es ESP,GK,Getafe,30,1993,38,38,3413,52,171,118,10,7,5,1,1,53.9,339,908,979,123,310,458,17,62,2,1.8999999999999986
David von Ballmoos,ch SUI,GK,ch Young Boys,28,1994,3,3,270,6,14,8,0,2,1,1,0,6.4,21,49,105,19,12,26,3,1,1,0.3999999999999999
Davy Roef,be BEL,GK,be Gent,29,1994,7,6,561,7,29,21,2,1,0,1,0,6.9,26,48,154,54,36,54,7,3,1,-0.09999999999999964
